run,run_start_timestamp,run_start_frame,run_end_timestamp,run_end_frame,toast_index,toast_timestamp,toast_frame,timer_text,timer_conf,toast_conf,template_name,timer_source
337,07:55:50.000,1713000,07:56:35.983,1715759,,,,,,,,
338,07:56:36.000,1715760,07:56:57.983,1717079,,,,,,,,
339,07:56:58.000,1717080,07:57:23.983,1718639,,,,,,,,
340,07:57:24.000,1718640,07:57:51.983,1720319,,,,,,,,
341,07:57:52.000,1720320,07:58:13.983,1721639,,,,,,,,
342,07:58:14.000,1721640,07:58:39.983,1723199,,,,,,,,
343,07:58:40.000,1723200,08:08:49.983,1759799,1,08:02:52.000,1738320,04:10.038,0.6958,0.9773,toast1,anchor_refresh
343,07:58:40.000,1723200,08:08:49.983,1759799,2,08:03:58.200,1742292,04:55.621,0.6645,0.9852,toast2,anchor_refresh
344,08:08:50.000,1759800,08:13:31.983,1776719,1,08:13:03.900,1775034,04:15.347,0.7917,0.9779,toast1,anchor_refresh
345,08:13:32.000,1776720,08:14:29.983,1780199,,,,,,,,
346,08:14:30.000,1780200,08:24:45.983,1817159,1,08:16:51.700,1788702,02:17.449,0.8036,0.9776,toast1,anchor_refresh
346,08:14:30.000,1780200,08:24:45.983,1817159,2,08:18:26.600,1794396,03:35.943,0.5829,0.9794,toast2,anchor_refresh
347,08:24:46.000,1817160,08:25:27.983,1819679,,,,,,,,
348,08:25:28.000,1819680,08:28:57.983,1832279,,,,,,,,
349,08:28:58.000,1832280,08:29:37.983,1834679,,,,,,,,
350,08:29:38.000,1834680,08:30:23.983,1837439,,,,,,,,
351,08:30:24.000,1837440,08:30:43.983,1838639,,,,,,,,
352,08:30:44.000,1838640,08:31:21.983,1840919,,,,,,,,
353,08:31:22.000,1840920,08:31:45.983,1842359,,,,,,,,
354,08:31:46.000,1842360,08:42:51.983,1882319,1,08:35:30.000,1855800,03:46.276,0.7759,0.9779,toast1,anchor_refresh
354,08:31:46.000,1842360,08:42:51.983,1882319,2,08:41:06.517,1875991,08:56.826,0.5989,0.9754,toast2,anchor_refresh
355,08:42:52.000,1882320,08:43:17.983,1883879,,,,,,,,
